algo,job_id,map_tasks_done,reduce_tasks_done,arrival_time,end_time,job_done
LL,6,4,1,1606837339.531165,1606837346.791494,True
LL,7,1,1,1606837340.079423,1606837347.183289,True
LL,9,3,2,1606837346.843873,1606837353.974128,True
RANDOM,0,4,2,1606896559.532869,1606896565.708295,True
RANDOM,1,3,2,1606896561.284263,1606896567.456076,True
RANDOM,2,2,1,1606896561.716407,1606896567.996043,True
RANDOM,3,3,2,1606896567.706696,1606896575.782191,True
RANDOM,4,1,2,1606896568.941709,1606896577.042973,True
LL,0,3,1,1606896936.299662,1606896942.351488,True
LL,3,1,2,1606896938.733962,1606896943.830748,True
LL,1,2,2,1606896937.924247,1606896944.052273,True
LL,2,2,1,1606896938.605502,1606896945.82224,True
LL,7,1,2,1606896942.977688,1606896947.140014,True
LL,5,3,1,1606896939.822448,1606896947.18803,True
LL,4,1,2,1606896939.399663,1606896947.484027,True
LL,8,4,1,1606896943.573752,1606896950.787816,True
LL,6,3,1,1606896942.796332,1606896951.003926,True
LL,9,3,1,1606896946.100674,1606896951.329882,True
RR,1,3,1,1606897051.998628,1606897057.144294,True
RR,0,2,2,1606897051.12289,1606897058.249758,True
RR,5,2,1,1606897057.198272,1606897060.572075,True
RR,2,4,2,1606897053.180209,1606897061.60008,True
RR,4,1,1,1606897055.469346,1606897061.613572,True
RR,3,4,2,1606897054.716327,1606897061.888089,True
RR,6,2,2,1606897059.104052,1606897066.371044,True
RR,7,3,1,1606897060.741556,1606897066.998543,True
RR,9,4,1,1606897064.044773,1606897069.207027,True
RR,8,2,1,1606897061.570908,1606897069.680251,True
RANDOM,0,1,1,1607068273.99551,1607068279.209321,True
RANDOM,1,4,2,1607068274.494519,1607068281.75765,True
RANDOM,2,3,2,1607068276.894831,1607068283.017144,True
RANDOM,4,1,2,1607068277.382683,1607068284.518804,True
RANDOM,3,3,2,1607068277.047672,1607068285.233121,True
RANDOM,0,3,2,1607068553.8856,1607068561.118425,True
RANDOM,1,1,2,1607068557.800193,1607068563.953034,True
